Open,High,Low,Close,Volume
196.7500,196.8626,196.1450,196.2700,250888
196.2900,196.6200,196.1100,196.2400,271771
196.2500,196.9500,196.0200,196.2150,297419
196.2004,196.7400,196.0500,196.1100,343811
196.1200,196.7600,196.0800,196.3600,272647
196.3600,197.8600,196.2700,197.5100,762510
197.5000,197.6600,196.5800,197.6000,601334
197.5501,198.0000,197.1650,197.9100,609971
197.9000,198.0500,197.5200,197.7900,331348
197.8000,197.9700,197.6072,197.8050,292272
197.8260,198.1496,197.5750,198.0547,423009
198.0550,198.3300,197.7321,197.8000,450107
197.7900,197.9900,197.1800,197.3400,390638
197.3300,197.8290,197.1900,197.7300,296374
197.7500,198.4257,197.7409,198.2350,816277
198.2300,198.5700,198.0800,198.1700,254167
198.1600,198.3900,197.7800,197.9200,306042
197.8800,198.0100,197.5600,197.8150,337874
197.8015,197.8300,197.2100,197.3150,305331
197.3200,197.4400,197.0000,197.0500,315727
197.0300,197.0500,196.6900,196.8250,365461
196.8600,197.0800,196.6800,196.7100,692509
196.7100,197.3200,196.6700,197.2700,272213
197.2864,197.6300,197.0900,197.6300,304142
197.6150,197.7100,197.0600,197.3800,235828
197.3750,198.1400,197.3500,197.7600,616648
197.7400,198.2100,197.7133,198.0550,258874
198.0300,198.2700,197.7300,197.8100,236475
197.8200,198.4200,197.6800,198.3700,342612
198.3400,198.5500,198.2500,198.4800,282614
198.4800,198.8335,198.2300,198.2600,424750
198.2550,198.5700,198.0000,198.5032,305887
198.4800,198.6500,198.3452,198.5300,293913
198.5400,198.7300,198.2601,198.2850,284728
198.2900,198.6600,198.2700,198.4000,294257
198.4050,198.5000,198.2200,198.5000,323077
198.5000,198.5000,198.2600,198.3500,292771
198.3400,198.5399,197.5500,197.8850,577198
197.8600,198.3000,197.4900,197.9500,512592
197.9500,197.9500,197.3763,197.3950,516183
197.4000,197.5000,197.1500,197.4500,404430
197.4200,197.5100,197.2600,197.4400,295549
197.4400,197.5400,196.9400,197.0900,360240
197.0900,197.3524,196.8700,197.2863,375222
197.2800,197.6599,196.9200,197.5200,451952
197.5250,197.7700,197.2000,197.2500,453727
197.2500,197.7000,197.0988,197.5400,366357
197.5500,197.5900,197.1100,197.3400,386002
197.3500,197.5300,196.9500,197.2737,401793
197.2900,197.3398,196.4509,196.5000,457011
196.4700,197.0600,195.8100,197.0000,1007818
197.0100,197.3600,196.6400,196.8700,1892028
196.8700,197.5100,196.8700,197.5100,15582520
197.5001,197.5500,196.9800,196.9800,180681
197.2200,197.4700,196.9800,197.3000,37178
196.9800,197.7500,196.9800,197.2400,16532
196.9800,197.6400,196.9800,197.2000,5105
197.2000,197.3000,196.9800,197.0600,252053
197.1100,197.2400,196.9800,197.1700,524641
197.1700,197.3000,197.1500,197.3000,5742
197.2707,197.5000,197.2700,197.4500,6538
197.3700,198.0000,196.9800,197.4000,34651
197.5500,197.6000,197.3155,197.5600,5285
197.5600,197.6000,197.3000,197.4600,2147
197.5900,197.6000,197.4000,197.4100,5871
197.4001,197.4100,185.0045,197.1755,4646
197.3000,197.5500,197.1502,197.4900,3304
197.4500,199.6953,197.3500,199.6953,4507
197.4900,197.5300,197.3000,197.4000,1946
197.5300,197.5300,196.9800,197.3670,26710
197.4500,197.5000,197.3000,197.4400,1169
197.3800,197.4400,197.3000,197.3300,1364
197.3300,197.4400,197.0500,197.0500,2073
197.2800,197.3800,197.0500,197.3600,861
197.3800,197.4000,197.0700,197.4000,2325
197.3801,197.5500,197.3100,197.5400,521
197.4000,197.5500,197.2900,197.4200,2011
197.4300,197.5090,197.2900,197.4999,562
197.5000,197.5000,197.2900,197.3900,680
197.2900,197.4500,197.2900,197.3994,212
197.3900,197.4000,197.2900,197.3400,788
197.3200,197.4000,197.3000,197.3500,787
197.3200,197.4000,197.2500,197.2900,1252
197.2900,197.3999,197.1000,197.2000,1963
197.2400,197.2400,197.0500,197.2000,1393
197.2000,197.2000,197.0000,197.0000,3443
197.0300,197.0500,197.0000,197.0500,374
197.0100,197.2000,197.0000,197.1500,903
197.1500,197.2000,197.0100,197.0800,2862
197.0500,197.2000,196.9800,197.1000,793781
197.1080,197.2000,197.0100,197.1000,403
197.0145,197.1900,197.0145,197.1500,471
197.1500,197.1900,197.0500,197.0500,2422
197.0500,197.1000,197.0500,197.1000,4805
197.1000,197.2500,197.0500,197.1100,960
197.1100,197.2266,197.1000,197.1900,2527
197.1900,197.1900,197.1100,197.1230,773
197.1200,197.1900,197.1000,197.1699,3018
197.1700,197.1900,197.1022,197.1338,3198
197.1800,197.4000,197.1800,197.2500,2984
