Open,High,Low,Close,Volume
173.6600,173.8350,173.5000,173.5899,243173
173.6000,173.9200,173.4400,173.5000,289379
173.5100,173.9600,173.3500,173.3650,323127
173.3800,173.7000,173.3100,173.4400,344786
173.4400,173.8000,173.2700,173.4000,325123
173.3800,174.1500,173.3300,173.9299,709601
173.9000,173.9400,172.9800,173.6600,565112
173.6400,174.3200,173.4400,174.1400,395782
174.1300,174.1800,173.7500,173.8300,307624
173.8300,174.1800,173.7100,173.8500,388275
173.8300,173.8300,173.4700,173.6800,414353
173.6650,173.7900,173.0300,173.1000,449184
173.1100,173.1300,172.3900,172.4600,543868
172.4674,173.0400,172.3400,172.9900,391454
172.9872,173.4800,172.9600,173.2700,331075
173.2750,173.5900,173.1600,173.4500,260144
173.4400,173.7200,173.3900,173.5400,281123
173.5200,173.6300,173.3700,173.4750,170132
173.4850,173.5100,172.9700,172.9700,244300
172.9800,173.1800,172.8800,173.0850,236701
173.0800,173.1200,172.8900,173.0850,245998
173.0900,173.3100,173.0300,173.0950,235213
173.1000,173.4600,173.1000,173.3600,1725032
173.3690,173.6100,173.2400,173.6100,213067
173.6050,173.6700,173.2602,173.4300,209996
173.4100,173.9600,173.3600,173.5250,321030
173.5145,173.8100,173.4750,173.6400,894757
173.6200,173.9000,173.3800,173.4450,242998
173.4550,173.6900,173.3200,173.6513,266284
173.6400,173.7800,173.5150,173.7110,317419
173.7100,173.7800,173.3100,173.3600,315659
173.3600,173.8800,173.2400,173.8702,312900
173.8700,174.2200,173.8300,174.1550,262037
174.1616,174.3100,173.9800,174.2000,314878
174.2200,174.5585,174.2050,174.2850,724244
174.3000,174.4800,174.1800,174.4650,245168
174.4374,174.4700,174.0800,174.1400,364971
174.1500,174.3268,173.5500,173.5800,404887
173.6000,173.8600,173.2400,173.4489,357214
173.4400,173.4500,173.1300,173.2721,374150
173.2600,173.4500,173.1600,173.3750,246564
173.3400,173.4700,173.2100,173.4100,277997
173.3900,173.4700,172.8020,172.9650,337994
172.9600,173.0000,172.6301,172.8900,351157
172.8900,172.9974,172.5100,172.7500,321140
172.7589,172.9200,172.5000,172.5700,399057
172.5800,172.9200,172.5200,172.6800,376028
172.6800,172.9600,172.6700,172.7750,344926
172.7750,172.9500,172.4600,172.7410,669690
172.7500,172.8300,172.2350,172.2800,590289
172.2700,172.6110,172.0000,172.4400,837852
172.4600,172.8400,172.3400,172.5900,1510961
172.6100,173.1900,172.5600,173.1900,8839178
173.2000,173.2000,172.6100,172.8400,526307
172.7900,173.0000,172.6100,172.9894,41711
172.6100,173.0000,172.6100,172.9000,25845
172.9000,172.9500,172.8200,172.9200,24492
172.9300,172.9600,172.6100,172.8080,124395
172.8400,174.2900,172.6100,172.9500,11194
172.9400,173.0200,172.8500,172.9600,12311
172.9600,173.2000,172.9000,173.1999,8036
173.2000,173.2000,172.6000,172.9200,21867
172.9200,173.1000,172.8900,173.1000,11481
173.0500,173.1700,172.6100,173.1000,14429
173.0700,179.7654,166.0316,173.2300,9017
173.2300,173.2400,167.7010,173.1200,9215
173.0950,173.3900,167.7010,173.1000,14530
173.1250,173.1500,171.0029,173.0975,4641
173.1000,173.1000,173.0000,173.1000,4034
173.0650,173.1000,173.0300,173.0900,1830
173.0400,173.1600,173.0400,173.0900,3680
173.0900,173.1000,173.0000,173.0600,3280
173.1000,173.1600,173.0200,173.1600,3720
173.1400,173.1600,173.0000,173.0400,886
173.1300,173.1400,173.0000,173.0600,2614
173.0900,176.9200,173.0000,173.0800,1104
173.0994,173.1000,173.0000,173.0900,3646
173.1000,173.1100,173.0600,173.0800,1371
173.0900,173.1300,172.9912,173.0700,2967
173.1100,173.1500,173.0000,173.1300,4683
173.1491,173.1500,173.1000,173.1200,1434
173.1400,173.1600,173.1000,173.1200,1987
173.1200,173.1600,173.1000,173.1300,1766
173.1300,173.1600,173.1300,173.1600,3181
173.1600,173.1600,173.1012,173.1392,2582
173.1400,173.1400,173.1000,173.1300,483
173.1300,173.1600,173.1200,173.1400,3279
173.1400,173.1600,173.0700,173.1300,3835
173.1300,173.1500,173.1000,173.1000,2936
173.1300,173.1500,172.6100,173.1300,201505
173.1300,173.1500,173.1000,173.1500,1372
173.1100,173.1500,173.1000,173.1000,2407
173.1100,173.1500,173.0200,173.1100,3449
173.0750,173.1400,173.0300,173.0800,1848
173.1170,173.1170,173.0220,173.1000,1042
173.1000,173.1500,173.0400,173.1400,2141
173.1300,173.1300,173.1000,173.1300,3959
173.1200,173.1300,173.0200,173.0600,3813
173.0500,173.0600,173.0000,173.0500,5770
173.0500,173.1300,173.0100,173.1300,4159
