Open,High,Low,Close,Volume
153.5400,153.5800,153.0000,153.1100,108578
153.1200,153.4900,152.9610,153.1692,133478
153.1800,153.6000,153.0500,153.0507,101495
153.0500,153.2800,152.8100,152.8750,131379
152.9000,153.2100,152.8300,152.8900,139653
152.8800,153.7700,152.8600,153.5405,247724
153.6200,153.6200,152.8700,153.5850,205788
153.5700,154.0600,153.3800,153.9000,128307
153.8900,153.9400,153.5400,153.5700,94477
153.5800,153.9500,153.4700,153.8100,169925
153.7800,153.9000,153.5400,153.8150,119992
153.8150,154.0100,153.3700,153.4200,101705
153.4300,153.5300,153.0000,153.0550,129272
153.0650,153.4600,152.9300,153.4200,131209
153.4200,153.7000,153.3800,153.6450,102483
153.6450,153.9897,153.6200,153.8500,140214
153.8400,154.0400,153.6300,153.7150,109216
153.7900,153.9300,153.6650,153.8629,72069
153.8700,153.9048,153.5700,153.6380,66478
153.6250,153.7400,153.4600,153.5250,69365
153.5200,153.5200,153.2400,153.3300,102988
153.3200,153.4800,153.1800,153.1900,126974
153.1950,153.5700,153.1925,153.4800,120556
153.4800,153.6000,153.3750,153.5800,120258
153.6000,153.7000,153.3392,153.6800,67603
153.6800,154.2095,153.6500,153.8538,128580
153.8850,154.2600,153.8200,154.1464,96742
154.1200,154.3000,153.9800,154.0100,95558
154.0000,154.2400,153.8800,154.1900,134896
154.1800,154.2800,154.0800,154.2050,102084
154.2150,154.3400,153.8993,153.9050,104767
153.8900,154.1600,153.8300,154.1500,100504
154.1400,154.2800,154.1050,154.1220,79709
154.1300,154.2074,153.8500,153.8500,82634
153.8400,154.1600,153.8335,153.9100,85446
153.8900,154.0600,153.7800,154.0500,83112
154.0600,154.0600,153.8700,153.9700,386572
153.9800,154.1900,153.5800,153.7100,279009
153.7300,153.9100,153.4700,153.6609,118555
153.6650,153.6794,153.3950,153.4300,97017
153.4200,153.5200,153.2900,153.4500,118235
153.4400,153.4900,153.2950,153.4209,100671
153.4100,153.4600,153.0100,153.1600,138308
153.1500,153.2000,152.9700,153.1628,130209
153.1900,153.4000,152.9000,153.3350,148726
153.3429,153.4900,153.1700,153.2550,115431
153.2500,153.5200,153.1700,153.4500,147982
153.4500,153.6400,153.4190,153.5800,142476
153.5850,153.6800,153.3300,153.5300,167847
153.5700,153.5800,153.0400,153.0700,169165
153.0500,153.2800,152.7910,153.1250,291295
153.1400,153.4800,152.9700,153.3050,889101
153.3000,153.4800,152.8800,153.0000,4512701
153.1800,153.4500,152.7200,153.2000,65825
153.2600,153.3600,152.8600,153.2500,3312
153.3600,153.5000,153.0901,153.2700,10550
153.2500,153.4200,153.0900,153.0900,4383
153.2000,153.3600,152.9100,153.0900,45141
153.0000,153.3600,153.0000,153.3600,4607
153.2700,153.4200,153.1500,153.3000,271
153.3000,153.4000,153.2000,153.3600,1264
153.3600,153.4200,152.8800,152.8800,8832
152.9400,153.4200,152.8800,153.4100,984
153.4000,153.4100,153.0000,153.1200,418
153.3000,153.9744,153.2000,153.9744,2010
153.3000,153.4100,152.9100,153.2400,1417
153.2361,156.1807,149.0732,153.3000,10393
153.2700,156.7610,153.2215,153.3600,1671
153.3000,153.3600,153.2600,153.3100,63
153.3100,153.4100,153.1600,153.3000,467
153.3000,153.4100,153.2000,153.3000,999
153.3100,153.4100,153.2150,153.4100,77
153.3600,153.4100,153.3500,153.3600,601
153.4000,153.4100,153.2800,153.3900,259
153.3500,153.4100,153.3000,153.3500,561
153.3900,153.4100,153.2800,153.2900,1861
153.2600,153.2900,153.0300,153.2900,363
153.2800,153.2900,153.0512,153.2800,241
153.2700,153.2900,153.2000,153.2022,787
153.2500,153.2900,153.2500,153.2700,781
153.2700,153.2900,153.0560,153.2200,1347
153.2600,153.2900,153.1500,153.2600,1916
153.1500,153.2900,153.1500,153.2400,405
153.2900,153.2900,153.1900,153.2000,667
153.2300,153.2900,153.0001,153.2438,1326
153.2300,153.2300,153.0000,153.0527,1778
153.1500,153.2300,153.0300,153.1200,1245
153.1200,153.2300,153.0717,153.1300,472
153.1200,153.1800,153.0600,153.1763,1458
153.1000,153.3600,153.0500,153.1100,19348
153.0300,153.1000,153.0300,153.0500,220
153.1000,153.1000,153.0294,153.0300,1494
153.0200,153.0300,153.0100,153.0200,275
153.0200,153.0300,153.0000,153.0300,1325
153.0300,153.0300,153.0000,153.0300,4690
153.0300,153.0300,152.9700,153.0300,376
153.0300,153.0300,153.0000,153.0300,1495
153.0300,153.0300,152.9901,153.0000,721
152.9901,153.0300,152.9900,153.0300,1909
153.0300,153.0300,153.0000,153.0300,3788
