Open,High,Low,Close,Volume
503.1800,503.9500,501.5000,502.0000,21219
502.0400,502.0400,500.0000,500.1000,40496
500.0200,500.2100,498.3300,498.7501,38172
499.3700,499.7800,498.5287,498.7900,24731
498.8200,499.8000,498.8200,499.6800,24120
499.9400,500.4900,499.2600,499.4100,22101
499.4200,501.0150,499.0100,500.8300,24152
500.9100,501.3400,499.8150,499.8150,13844
499.7281,500.0900,498.2300,498.8600,14206
499.1000,499.5600,497.7700,498.2900,26952
498.0900,498.4700,497.3600,498.4100,23299
498.5500,498.7000,497.6400,497.9900,15433
497.8100,498.1700,497.2000,498.0550,28409
497.9400,498.0600,497.3800,497.6600,31915
497.6750,498.2359,497.4300,497.8250,17742
497.6625,499.3300,497.6150,499.1150,19295
499.3500,500.0000,499.3100,499.5090,19590
499.7400,500.2550,499.2392,499.5644,17678
499.7800,500.0800,499.2600,499.4200,17100
499.4500,500.0000,499.3226,499.6859,7988
499.6900,499.8200,499.2991,499.8075,11003
499.9050,501.1800,499.9000,500.9900,19726
500.9300,501.6050,500.6800,501.5450,10795
501.5900,502.1100,501.2000,501.3300,10551
501.2500,501.8700,501.1800,501.7450,14358
501.5500,501.6050,500.2100,500.2100,17831
500.0000,500.1900,499.5000,500.1250,15842
500.2400,500.9550,498.9600,499.1200,22443
499.2700,499.4000,498.8767,499.3250,15724
499.1100,499.7600,498.5875,499.1900,23177
499.1700,499.7000,498.8180,499.5800,11733
499.3700,500.3600,499.3700,499.8400,25464
499.6200,500.3300,498.9350,498.9350,22289
499.0805,499.8900,499.0550,499.6000,32776
499.5900,499.7300,498.4400,498.7800,20038
498.7800,499.2500,498.0590,498.4600,28349
498.4550,498.5200,497.8801,498.0800,22819
497.9600,498.7300,497.8000,497.9300,19494
497.6200,498.0200,496.6600,496.6650,25287
496.7000,496.7900,494.6915,494.7399,61359
494.7200,496.2800,494.6800,495.4400,29020
495.2300,496.1600,494.7341,495.9300,40625
495.9650,497.7300,495.9650,497.4900,36453
497.5400,498.3100,497.2600,498.1500,30409
498.1400,498.8600,497.9600,498.7850,21527
499.1000,499.7950,498.2501,499.1500,22597
499.3050,500.0000,499.1550,499.5600,30223
499.6300,499.6700,498.7600,498.9850,16880
499.1500,499.1500,498.4170,498.8300,26103
498.9000,498.9200,497.8600,498.0000,22926
497.8250,498.3700,497.8250,498.0200,19232
497.9300,499.1400,497.8600,498.9600,30335
499.1400,499.7300,498.6600,499.2200,34754
499.0400,499.3550,498.3950,498.8900,24849
499.0000,499.4700,498.8300,499.3800,35595
499.3800,499.8850,499.1233,499.4624,25482
499.5800,499.7600,498.4500,498.9200,31949
499.0699,499.8499,498.9300,499.7000,30299
499.7500,501.8100,499.5300,501.1600,65947
501.3200,501.8200,500.3600,500.7500,71574
500.8300,501.0900,499.3050,500.6400,35977
500.5400,502.5600,499.9250,502.2900,108963
501.9800,502.4600,500.8300,501.0100,181907
501.0200,503.0000,500.7400,501.9000,848991
501.3600,501.4400,500.8100,501.3000,177743
501.3600,501.3600,472.3770,501.3000,416608
501.3600,501.3600,501.3600,501.3600,181
501.3600,501.3600,500.5900,500.5900,455
500.9900,501.1600,500.5500,500.5500,103
500.7000,500.7000,498.0100,498.0100,30
501.2200,501.2200,500.0000,500.8200,148
501.3600,501.3600,501.3600,501.3600,5
534.7985,534.7985,534.7985,534.7985,4
500.7500,501.6700,500.3200,501.6700,2707
501.4400,501.9900,501.4400,501.9900,24
501.3600,501.3600,501.3600,501.3600,4
501.3800,501.3800,501.3800,501.3800,2
501.8300,501.9000,501.0000,501.0000,84
533.5117,533.5117,533.5117,533.5117,36
502.0000,502.0000,502.0000,502.0000,2
501.9900,502.0000,501.0000,502.0000,9
501.0000,501.0000,501.0000,501.0000,2
501.0000,501.0000,501.0000,501.0000,5
501.0000,501.0000,501.0000,501.0000,31
501.0000,501.0000,501.0000,501.0000,10
501.0000,501.3600,501.0000,501.0000,24
500.3000,500.3100,500.3000,500.3000,56
501.3600,501.3600,500.3000,500.3000,416471
500.9900,501.0000,500.9900,501.0000,401
500.0000,501.0000,500.0000,501.0000,168
501.0000,501.0000,500.7000,500.7000,101
501.3600,501.3600,501.3600,501.3600,416466
500.0000,501.3600,500.0000,501.3600,77
501.2000,502.0000,501.0000,502.0000,171
501.0000,501.0000,501.0000,501.0000,6
500.3000,502.0000,500.0000,502.0000,21
500.3000,500.3000,500.3000,500.3000,86
500.0000,501.3600,500.0000,501.3600,122
501.5000,501.5000,501.5000,501.5000,17
501.5200,502.0000,501.5000,501.5000,32
