Open,High,Low,Close,Volume
240.5000,240.6800,240.3000,240.3200,27296
240.3100,240.8500,240.2300,240.7900,21543
240.8520,240.8520,240.1300,240.2225,16879
240.1900,240.3400,239.9500,240.1692,16798
240.1046,240.4400,240.0500,240.1150,13838
240.2100,240.3500,240.0122,240.1300,13350
240.0100,240.0300,239.1459,239.1900,33926
239.2600,240.0010,239.2600,239.5752,21433
239.4700,239.6800,239.1600,239.3200,16674
239.3050,239.3999,239.0700,239.2200,13228
239.2200,239.4100,238.7600,238.9600,17781
238.9900,239.4600,238.8100,239.2900,24770
239.3420,239.4400,239.0066,239.2700,26350
239.3050,239.7900,239.3050,239.6600,16161
239.6900,239.7782,239.2700,239.4050,13657
239.3500,239.7000,239.2300,239.4200,17308
239.3950,239.6000,239.1600,239.2900,14232
239.2300,239.8600,239.1899,239.8600,13981
239.9280,240.0200,239.7442,239.7442,12079
239.8050,239.9100,239.4750,239.5000,14239
239.5150,239.6150,239.3101,239.3800,18011
239.3850,239.6393,239.3300,239.5000,14699
239.5700,239.8900,239.4927,239.8100,28472
239.7400,239.8600,239.5000,239.5900,17816
239.4900,239.7600,239.2467,239.7600,19289
239.6600,240.0400,239.5100,239.9300,15234
239.9400,240.1100,239.7600,239.8500,19061
239.8500,239.9700,239.8000,239.8800,27636
239.8850,239.9600,239.5400,239.7750,36915
239.7750,239.8700,239.3800,239.6650,36851
239.6650,239.7700,239.4800,239.4962,19969
239.5900,240.0450,239.5900,239.9900,17387
239.9646,240.2800,239.7700,240.1700,16504
240.2900,240.4700,240.2301,240.3500,20663
240.3500,240.3950,240.1500,240.3950,17494
240.4100,240.4100,239.7900,239.8650,24149
239.8000,240.6695,239.7210,240.6250,28266
240.5600,240.8100,240.3110,240.4850,77418
240.4550,240.4800,239.9500,240.0150,76462
240.0200,240.2200,239.6500,240.0600,40183
240.0100,240.1100,239.6200,239.9500,30061
239.9400,240.0200,239.7200,239.8100,47176
239.7400,240.3000,239.7400,240.0000,70808
240.0150,240.3800,240.0150,240.3150,16245
240.3700,240.4300,240.1800,240.3300,23229
240.3150,240.8250,240.2300,240.8250,18893
240.8700,241.2050,240.6200,240.6750,29571
240.5900,240.6693,240.4000,240.5176,28352
240.6400,240.7800,240.5900,240.6900,20271
240.6500,240.6700,240.4117,240.4950,28954
240.5000,240.6300,240.4300,240.5800,66238
240.5500,241.0000,240.5350,240.9500,62108
240.9000,241.2790,240.7100,241.1550,66012
241.1500,241.4200,240.9832,241.0900,33650
241.0500,241.1200,240.9300,241.0500,41667
241.1200,241.3000,241.0600,241.2450,46033
241.2450,241.2900,240.9301,241.0500,56811
241.0800,241.3300,241.0000,241.2889,58919
241.2350,241.2800,240.9800,241.2700,83852
241.2750,241.5300,240.9900,241.0900,104110
241.1000,241.3000,240.6250,240.8700,215476
240.7200,240.7850,240.0000,240.7000,1011117
240.7000,240.7000,240.7000,240.7000,106020
240.7000,240.9600,240.7000,240.7000,413270
240.7000,240.7000,240.7000,240.7000,2
240.7000,240.7000,240.6000,240.6000,226
240.7000,240.9000,240.7000,240.7000,68440
240.7000,240.7000,240.6000,240.6200,26
240.6100,240.7000,240.6000,240.7000,10
240.6700,240.6700,240.2167,240.2167,151
240.9700,240.9700,240.7000,240.7000,30908
240.8300,240.8300,240.8300,240.8300,5
240.9200,240.9200,240.9200,240.9200,1
240.8200,241.4400,240.2000,241.4400,119
240.8300,240.8300,240.8300,240.8300,1
240.8300,240.8300,240.8300,240.8300,2
242.0000,242.0000,240.4400,240.4400,6
240.7000,240.7000,240.6900,240.6900,40
240.3900,240.6500,240.3700,240.3700,66
240.3700,240.3700,239.2900,240.2900,283
239.9900,239.9900,238.3700,238.5000,255
238.5000,238.5000,238.3700,238.3700,20
239.9800,239.9800,239.9800,239.9800,1
239.0000,239.5100,239.0000,239.5000,238
239.8900,239.8900,239.5000,239.5000,21
240.7000,240.7000,239.5000,239.5000,411608
239.8900,239.8900,239.8900,239.8900,45
239.8888,239.8888,239.8888,239.8888,1
238.3700,239.8800,238.3700,239.8800,3
239.8800,239.8800,239.8800,239.8800,1
240.7000,240.7000,238.4080,238.4080,411451
239.5500,239.5500,239.5500,239.5500,2
238.3700,238.3700,238.3700,238.3700,2
239.5500,239.5500,239.5000,239.5000,39
239.0100,239.0100,239.0100,239.0100,6
238.3700,238.3700,238.3700,238.3700,91
239.8700,239.8800,238.5657,238.5657,55
239.8800,239.8900,239.8700,239.8700,117
238.3700,238.3700,238.3700,238.3700,2
239.0400,239.0400,239.0100,239.0100,50
