Open,High,Low,Close,Volume
233.3550,233.3700,232.8600,233.0600,64945
233.0600,233.5400,233.0600,233.3050,70545
233.2900,233.5800,233.0000,233.2550,164235
233.3100,233.5000,232.8200,232.9000,46686
232.9000,233.2500,232.6200,232.9100,65319
232.9200,233.3700,232.6700,233.0100,70735
233.0000,233.4299,232.6817,232.7500,83591
232.8000,233.7600,232.5600,232.6900,140474
232.6900,233.9800,232.5900,233.5700,146772
233.4900,233.5200,232.4500,232.9950,86420
233.0400,233.6000,232.6900,233.4600,131584
233.4400,233.7800,233.2400,233.4285,42915
233.4311,234.0500,233.4311,233.7600,84967
233.7600,234.1600,233.5000,234.0502,59054
234.0350,234.1800,233.4000,233.4600,60346
233.4600,233.7200,232.9100,233.0300,82266
233.0300,233.1294,232.5600,232.9800,77371
232.9581,233.4500,232.8800,233.1750,105593
233.1100,233.6300,233.0200,233.3500,110846
233.4100,233.7000,233.0500,233.2000,57506
233.2800,233.3600,233.1200,233.2800,43312
233.2650,233.3750,232.9100,232.9800,60381
232.9800,233.0450,232.5900,232.9150,70265
232.8400,232.9400,232.3700,232.6100,45678
232.6100,232.8000,232.4600,232.5300,42915
232.5800,233.1400,232.5300,233.1300,39708
233.1500,233.1900,232.9600,233.1700,44725
233.1300,233.2300,232.6400,233.0100,33997
232.9800,233.7400,232.9000,233.3099,47821
233.2250,233.8800,233.1900,233.7300,46089
233.7350,233.9700,233.5990,233.5998,46967
233.6450,233.9500,233.4700,233.9450,60588
233.9150,234.2500,233.8700,234.1450,59835
234.1475,234.3400,233.6900,233.6900,75001
233.8193,234.0150,233.6550,233.9900,55631
234.0085,234.1000,233.8300,233.9950,42459
233.9950,234.1000,233.7400,233.8450,66742
233.8000,234.2000,233.7800,233.8900,60297
233.8300,234.2000,233.7200,234.1433,59039
234.1300,234.2000,233.6000,233.8700,56523
233.8700,234.0300,233.2200,233.2800,131569
233.2100,233.7300,232.9200,233.3500,51559
233.3450,233.4937,233.1300,233.2100,45358
233.2050,233.3000,232.9300,233.2200,61845
233.1650,233.2200,232.8850,232.9900,65157
232.9900,233.0600,232.3750,232.4700,81073
232.4500,232.6800,232.2200,232.5150,88373
232.5300,232.9000,232.2000,232.7800,101240
232.6700,232.9100,232.4700,232.6696,80236
232.6000,233.0700,232.5600,232.9650,150951
232.9650,233.1900,232.8100,233.0500,102721
233.0700,233.4000,232.7350,233.0200,107254
233.0400,233.0400,232.0850,232.2300,186052
232.0500,232.4700,231.8000,232.4300,246234
232.4600,232.4700,231.7100,231.9600,701596
231.9600,232.4900,231.7101,232.4900,2818632
231.9600,232.2700,231.9600,232.0000,22916
231.9600,232.3200,231.9600,232.0800,1322068
231.9600,232.7000,231.9600,232.2000,132
234.2500,234.2500,232.4400,233.0000,3
234.0000,234.0000,231.9600,232.3700,151431
231.9600,231.9600,231.9600,231.9600,15
232.3700,232.3700,232.3000,232.3000,3
232.0745,232.0745,232.0745,232.0745,8
234.1455,234.1455,232.0200,232.0400,457
232.4400,232.4400,232.4400,232.4400,1
232.3700,234.1457,231.9600,234.1457,5703
232.1200,232.1200,232.1200,232.1200,40
232.1200,232.2000,232.1000,232.1000,36
233.1200,234.1800,232.0400,232.0400,864
232.4600,248.3022,232.1200,248.3022,132
232.5000,232.5000,232.5000,232.5000,1
232.1500,232.1500,231.9600,232.0940,10257
232.5000,232.5000,232.0400,232.1000,55
232.1100,232.1100,232.1100,232.1100,9
232.4800,232.4800,232.1200,232.1200,9
232.1400,232.1400,232.1400,232.1400,5
234.1475,234.1475,232.0600,234.1000,26
234.2000,234.2700,232.1500,232.1500,94
232.1700,232.1700,232.1700,232.1700,1
232.1200,232.4800,232.1200,232.4800,16
232.4900,234.2000,232.0600,232.1100,146
232.1100,232.1100,232.1100,232.1100,1
232.1100,232.1600,232.1100,232.1600,4
231.9600,232.1500,231.9600,232.0600,1321434
232.1400,232.1575,232.0500,232.1000,871
232.0500,232.0500,232.0000,232.0000,203
232.0000,232.0000,232.0000,232.0000,500
232.0000,232.0500,232.0000,232.0000,216
232.0500,232.0500,232.0500,232.0500,102
231.9600,232.0400,231.9600,232.0400,1321234
232.0400,232.0400,231.9600,231.9600,1193
232.0500,232.0500,232.0500,232.0500,1
232.0500,232.0500,231.6700,232.0400,110
232.0500,232.1600,232.0500,232.1600,68
232.0040,232.0500,232.0040,232.0500,3
232.1600,232.1600,232.1600,232.1600,103
232.0500,232.1600,232.0100,232.1600,401
232.1000,232.1000,232.1000,232.1000,18
232.1600,232.1600,232.0137,232.1600,13
