Open,High,Low,Close,Volume
371.5600,371.7000,370.6300,370.7600,75409
370.8400,371.2000,370.4200,370.5150,96216
370.5350,371.4700,370.3400,370.6500,75927
370.6500,371.2500,370.6100,370.8500,67176
370.8900,371.4200,370.6492,370.6550,102739
370.5901,372.5300,370.4450,372.1300,251060
372.1650,372.1650,370.5556,371.9000,231918
371.8200,372.3500,371.4400,372.1500,162732
372.1400,372.2300,371.6201,371.6600,86778
371.6700,372.2400,371.5700,371.8200,93502
371.8750,372.1600,371.3900,371.9140,112965
371.8600,372.2000,371.0100,371.1000,96942
371.0600,371.2100,369.8600,370.0750,772259
370.0500,370.3900,369.7800,370.1500,129343
370.2000,371.4100,370.1100,371.3300,124186
371.3400,371.7600,371.1500,371.4850,83130
371.5150,371.8500,371.2100,371.4450,112571
371.4450,371.8000,371.0500,371.4900,70460
371.5650,371.6800,370.7500,370.8600,82765
370.7800,371.0200,370.4900,370.6800,82798
370.6800,370.7900,370.3600,370.6650,70866
370.6600,371.0000,370.3000,370.3000,67249
370.3400,371.1800,370.3400,371.0200,77246
370.9916,371.3000,370.7801,371.1800,75552
371.1800,371.3300,370.4900,370.9100,71745
370.8350,371.9200,370.8350,371.3600,149849
371.3600,371.8600,371.3100,371.3700,109188
371.3600,371.8598,370.9900,371.0000,87290
370.9900,371.7300,370.8100,371.6400,128440
371.6200,371.8347,371.3700,371.5100,137805
371.5750,371.7119,370.8100,370.8100,136990
370.8000,371.4069,370.4800,371.3400,560484
371.2700,371.6600,371.1100,371.5099,114083
371.4550,371.6265,370.5800,370.5800,136955
370.5800,371.1700,370.3500,370.4200,132271
370.4800,370.7600,370.3100,370.6950,117268
370.7599,370.9600,370.3600,370.9100,168050
370.8600,371.0000,369.6600,370.1100,293513
370.0600,370.4100,369.5600,369.9400,186714
369.9300,370.0400,369.3800,369.3900,203322
369.4375,369.6800,369.0300,369.3314,258261
369.2200,369.3300,368.8900,369.1000,175777
369.1000,369.2250,368.2250,368.3100,243492
368.2700,368.4500,367.9200,368.3800,286425
368.4400,368.6500,367.7500,368.3500,205669
368.3800,368.9400,368.0400,368.4700,203128
368.4700,369.0000,368.3100,368.6100,204403
368.6800,369.0100,368.3500,368.8400,201776
368.8800,368.9200,368.2400,368.7100,275795
368.7650,368.8900,367.8200,367.9400,212596
367.9300,368.1300,366.8900,367.9300,479432
367.9500,368.4600,367.2000,367.6000,1021840
367.6000,369.2000,367.3800,367.9000,7308046
367.9000,368.5000,367.3800,368.0550,30183
367.9900,368.3000,367.8100,368.3000,1399
367.7800,368.2500,367.7800,368.2300,18311
368.0200,368.2500,367.7800,367.9050,2784
367.9000,368.0000,367.6000,367.8200,23295
367.7100,367.8200,367.3800,367.6800,6855
367.5900,368.5000,367.5045,368.0400,6033
368.0000,368.5000,368.0000,368.4300,1192
368.4400,369.0700,368.0100,368.7600,7779
368.9000,369.0000,368.5200,368.7000,905
368.7200,368.8800,368.0000,368.1050,5051
368.2000,392.4052,368.0197,368.3250,1000
368.3000,392.7452,368.0200,368.2700,2039
368.2800,374.6388,368.0200,374.6388,1495
368.0850,392.4190,359.6955,368.1900,1535
368.2000,368.2000,368.0200,368.0900,825
368.0900,368.1000,368.0200,368.1000,390
368.0800,368.1000,367.8100,367.9050,1025
368.0000,368.1000,367.8100,368.0300,380
367.9550,368.1000,367.9550,368.0400,414
368.1000,368.1000,368.0000,368.0800,355
368.1000,368.1000,367.9650,368.0800,1463
368.0800,368.0800,367.8512,368.0800,239
368.0700,368.0700,367.8100,367.9000,504
367.9500,368.0000,367.8100,367.9050,676
367.9800,368.2400,367.9050,368.0600,383
368.2400,368.2400,367.8100,368.0700,233
368.0450,368.2300,367.8100,368.0050,238
368.0050,368.2000,367.8100,368.0050,364
368.1900,368.1900,367.9400,367.9400,307
368.0000,368.2000,367.9900,368.0950,194
368.0900,368.1900,367.8200,368.0000,324
368.1000,368.1900,367.8200,368.1500,583
368.0900,368.1000,367.7876,368.0900,928
367.9400,368.1000,367.7880,367.8800,274
368.0000,368.1000,367.8000,367.9500,467
368.0000,368.1000,367.7800,367.9500,164824
367.9500,368.1000,367.8000,367.9500,93
367.9500,368.1000,367.8000,367.9500,255
367.9500,368.1000,367.8000,367.8400,1727
367.8200,368.1000,367.8200,368.1000,1110
368.0000,368.0500,367.9020,368.0050,904
368.0050,368.1000,367.9100,368.0100,289
368.0000,368.1000,367.9200,368.0400,243
368.0150,368.1000,367.9300,368.0988,1218
368.0750,368.2500,368.0500,368.1500,492
368.2000,368.2800,368.0500,368.1650,893
