Open,High,Low,Close,Volume
240.9650,241.0265,239.7000,240.1600,558193
240.1700,240.8700,239.6000,240.1818,640528
240.1900,241.1600,239.6500,239.7801,803808
239.8150,240.3699,239.3300,239.6248,931570
239.5850,240.6200,238.7006,238.7700,913868
238.7500,240.9200,238.4700,240.7599,1336596
240.7300,240.9000,238.9700,240.0200,887151
240.0152,241.7700,239.7703,241.5800,855772
241.6800,241.8900,241.0200,241.3241,646900
241.2900,242.1100,241.1100,241.7810,658275
241.8335,242.5499,241.2550,242.1600,667583
242.1900,242.5600,240.9700,241.1350,719501
241.1100,241.3900,239.6917,239.9658,1242336
239.9700,240.7900,239.6500,240.5800,839628
240.5820,241.2499,240.5600,240.9850,578391
240.9400,241.4100,240.5300,240.5800,521042
240.5400,241.4700,240.4100,240.9400,540307
240.9500,241.5500,239.7800,241.3995,490533
241.4000,241.7292,240.5800,240.7000,513557
240.6950,240.9900,240.0500,240.3500,454512
240.3150,240.3500,239.6100,240.2250,506957
240.2255,240.4900,239.3000,239.3434,609726
239.4000,240.1900,239.3300,239.9550,473212
239.9550,240.3000,239.6500,240.2200,508257
240.2000,240.3700,238.7500,239.9500,852550
239.9100,241.1500,239.8200,240.4225,894754
240.4000,241.1098,240.3000,240.9500,469801
240.9100,241.4700,239.6149,240.8850,457804
240.8850,241.3600,240.5700,241.3090,499175
241.3700,241.7697,241.1500,241.5500,503028
241.5900,241.9400,241.1200,241.2100,669176
241.2500,241.6900,240.9300,241.6500,621443
241.6100,242.1100,241.4500,241.8250,572621
241.8200,242.1600,239.7100,241.2400,550979
241.2700,242.0000,241.1604,241.5300,391378
241.5899,242.1000,241.4201,241.9950,358249
242.0000,242.0499,241.1000,241.4417,415636
241.4700,241.8100,240.6101,241.0000,753207
241.0100,241.5300,240.3500,240.9325,598416
240.9200,240.9799,239.9200,239.9500,646837
239.9550,240.3700,239.7500,240.2282,750261
240.1953,240.5100,239.9000,240.2200,578553
240.1800,240.3700,239.2304,239.4701,592789
239.4500,239.8600,239.1500,239.7250,688458
239.7250,239.9600,238.8801,239.6600,819818
239.6999,239.9700,239.0700,239.2398,700779
239.2744,240.0500,239.1450,239.9500,1614480
239.9800,240.4200,239.8300,240.0525,815706
240.0500,240.5000,239.3700,240.0500,815517
240.1100,240.5200,239.6400,240.3200,901802
240.2400,241.7500,240.0000,241.6900,1980333
241.6900,241.7500,240.1200,241.5400,2211553
241.5300,241.9300,240.8585,241.7799,10733650
241.7000,241.8000,240.8000,241.4300,210708
241.3200,241.5300,241.1300,241.3700,80069
241.3700,241.7400,241.3100,241.4000,21306
241.3900,241.4800,241.1300,241.1400,13984
241.2000,241.2900,240.8500,240.9700,19619
241.0000,241.3700,240.8500,241.0000,18391
241.0000,241.2400,240.9000,241.1300,15134
241.1300,241.4100,241.0200,241.2800,22656
241.2600,241.3700,241.1000,241.2500,16206
241.2500,241.3200,241.0200,241.1100,13408
241.2000,241.2000,240.8000,240.9200,26187
240.9200,254.6053,232.5913,240.8101,14531
240.8000,256.1494,226.8008,240.9100,15652
240.8200,252.9569,226.8008,241.1600,19031
241.1600,256.1494,241.0000,241.1600,4072
241.1300,241.3700,241.0100,241.2005,833355
241.2200,241.2500,240.7800,241.0240,11286
241.1300,241.2500,240.8500,241.0000,3680
240.9200,241.0000,240.8500,240.9888,4685
240.9500,241.0000,240.8300,240.9700,3265
240.9300,241.0900,240.8300,241.0700,5786
241.0900,241.1000,240.9500,241.0700,4673
241.0700,241.1200,240.8500,241.0000,4298
240.9500,241.1200,240.9500,241.0900,4357
241.1000,241.1000,241.0145,241.1000,3301
241.0800,241.1000,240.8000,240.8300,20539
240.8300,241.0000,240.8000,240.9200,14668
240.9200,240.9500,240.8200,240.9250,6396
240.9400,241.2000,240.9100,241.0300,9691
241.0100,241.1000,240.9000,240.9700,4153
240.9900,241.0772,240.8800,240.9400,6143
240.9350,241.0000,240.8200,240.8600,11866
240.8300,240.9078,240.8200,240.8800,3139
240.8300,240.8900,240.8200,240.8700,4821
240.8700,240.9000,240.7100,240.7400,13708
240.7120,240.8000,240.6000,240.7114,14364
240.6400,241.3700,240.6200,240.6950,9529
240.7100,240.7900,240.6100,240.7788,5553
240.7400,240.7800,240.6600,240.7000,3599
240.7000,240.7800,240.6600,240.7500,5945
240.7500,240.9100,240.6600,240.9100,8930
240.9000,240.9700,240.8000,240.8595,2243
240.8600,240.9500,240.8000,240.8500,8374
240.8800,241.0000,240.8500,240.9350,8881
240.9300,241.0000,240.8900,240.9001,12442
240.9001,241.0000,240.8950,240.9800,16217
240.9200,241.0000,240.8700,240.8900,18781
